opp_id,opp_name,account_name,partner_name,opp_type,region,product,stage,amount_usd,partner_margin_usd,created_date,close_date,sales_rep,partner_tier
OPP-0066,Enterprise_145 - Analytics Cloud,Enterprise_245,CDW,Partner,North America,Governance Suite,Negotiation,,,2025-03-05,,Riley Chen,3
OPP-0067,Enterprise_154 - Data Intelligence,Enterprise_201,Insight,,LATAM,Analytics Cloud,Qualification,,,2024-10-27,,Morgan Lee,3
OPP-0068,Enterprise_163 - Governance Suite,Enterprise_140,Slalom,Partner,LATAM,ML Platform,Prospecting,,,2024-12-26,,Morgan Lee,2
OPP-0069,Enterprise_220 - Governance Suite,Enterprise_155,Deloitte Consulting,Partner,APAC,Governance Suite,Prospecting,,,2024-04-04,,Morgan Lee,1
OPP-0070,Enterprise_211 - Analytics Cloud,Enterprise_170,Presidio,Partner,EMEA,Governance Suite,Closed Lost,458000,,2024-01-04,2024-05-25,Riley Chen,3
OPP-0071,Enterprise_176 - Governance Suite,Enterprise_218,Wipro,Partner,LATAM,Data Intelligence,Closed Won,474000,68090,2024-12-19,2025-02-18,Jordan Brooks,2
OPP-0072,Enterprise_197 - Governance Suite,Enterprise_180,Capgemini,Partner,EMEA,ML Platform,Qualification,,,2024-04-08,,Jamie Torres,2
OPP-0073,Enterprise_148 - ML Platform,Enterprise_156,Presidio Inc,Partner,North America,Analytics Cloud,Closed Lost,135000,,2024-08-07,2024-08-07,Jordan Brooks,3
OPP-0074,Enterprise_152 - ML Platform,Enterprise_232,Accenture,Direct,EMEA,Governance Suite,Closed Won,217000,,2024-01-23,2024-02-01,Morgan Lee,1
OPP-0075,Enterprise_215 - Data Intelligence,Enterprise_142,Capgemini SE,Partner,North America,ML Platform,Closed Won,365000,,2024-06-29,2024-09-25,Sam Patel,2
OPP-0076,Enterprise_185 - Analytics Cloud,Enterprise_222,Cognizant Technology Solutions,Direct,North America,Governance Suite,Closed Won,368000,,2025-01-30,2025-02-22,Jamie Torres,2
OPP-0077,Enterprise_195 - Data Intelligence,Enterprise_144,Cognizant Technology Solutions,,APAC,Analytics Cloud,Closed Won,130000,10914,2024-10-01,2024-12-24,Riley Chen,2
OPP-0078,Enterprise_167 - Governance Suite,Enterprise_142,Wipro Technologies,Partner,EMEA,Analytics Cloud,Proposal,,,2024-12-11,,Riley Chen,2
OPP-0079,Enterprise_156 - ML Platform,Enterprise_113,Deloitte,Partner,APAC,Governance Suite,Closed Won,103000,9847,2024-02-14,2024-03-03,Alex Kim,1
OPP-0080,Enterprise_145 - ML Platform,Enterprise_248,Insight Global,Partner,North America,Data Intelligence,Closed Won,215000,,2024-01-04,2024-03-24,Alex Kim,3
OPP-0081,Enterprise_173 - Analytics Cloud,Enterprise_248,Accenture Inc,Partner,EMEA,Analytics Cloud,Closed Lost,168000,,2024-06-05,2024-10-03,Alex Kim,1
OPP-0082,Enterprise_121 - ML Platform,Enterprise_100,accenture,,APAC,Governance Suite,Proposal,,,2024-05-07,,Sam Patel,1
OPP-0083,Enterprise_230 - Governance Suite,Enterprise_171,WIPRO,,EMEA,Governance Suite,Closed Lost,239000,,2024-03-12,2024-05-10,Alex Kim,2
OPP-0084,Enterprise_187 - Governance Suite,Enterprise_152,Cognizant,Partner,North America,ML Platform,Prospecting,,,2024-09-22,,Jamie Torres,2
OPP-0085,Enterprise_163 - Data Intelligence,Enterprise_131,Slalom,Partner,North America,Data Intelligence,Closed Won,35000,,2024-05-19,2024-09-07,Jamie Torres,2
OPP-0086,Enterprise_198 - Data Intelligence,Enterprise_209,CDW,Partner,LATAM,ML Platform,Closed Lost,403000,,2025-03-16,2025-03-27,Riley Chen,3
OPP-0087,Enterprise_178 - Data Intelligence,Enterprise_155,Capgemini SE,Direct,EMEA,Data Intelligence,Closed Lost,198000,,2024-06-13,2024-09-11,Riley Chen,2
OPP-0088,Enterprise_206 - ML Platform,Enterprise_131,Presidio,,EMEA,Governance Suite,Closed Won,498000,,2024-06-10,2024-08-09,Jamie Torres,3
OPP-0089,Enterprise_119 - Analytics Cloud,Enterprise_120,KPMG,Direct,EMEA,Data Intelligence,Qualification,,,2024-04-13,,Jordan Brooks,2
OPP-0090,Enterprise_218 - Analytics Cloud,Enterprise_222,WWT,Partner,North America,ML Platform,Closed Won,297000,64169,2024-08-13,2024-12-07,Jamie Torres,2
OPP-0091,Enterprise_235 - ML Platform,Enterprise_234,Insight Global,Partner,LATAM,Analytics Cloud,Qualification,,,2024-02-05,,Jamie Torres,3
OPP-0092,Enterprise_113 - Data Intelligence,Enterprise_150,Cognizant Technology Solutions,Partner,APAC,ML Platform,Qualification,,,2024-07-16,,Alex Kim,2
OPP-0093,Enterprise_218 - ML Platform,Enterprise_187,Insight,Partner,EMEA,ML Platform,Negotiation,,,2025-02-03,,Jordan Brooks,3
OPP-0094,Enterprise_126 - Governance Suite,Enterprise_246,Cognizant,Partner,LATAM,Analytics Cloud,Qualification,,,2024-05-22,,Jordan Brooks,2
OPP-0095,Enterprise_177 - Data Intelligence,Enterprise_233,Cognizant Technology Solutions,,APAC,Data Intelligence,Closed Lost,240000,,2024-08-23,2024-10-06,Morgan Lee,2
OPP-0096,Enterprise_169 - Data Intelligence,Enterprise_135,Accenture LLP,Direct,EMEA,Analytics Cloud,Closed Lost,150000,,2025-01-29,2025-03-18,Alex Kim,1
OPP-0097,Enterprise_223 - Data Intelligence,Enterprise_211,KPMG LLP,Partner,LATAM,Governance Suite,Prospecting,,,2025-02-27,,Jamie Torres,2
OPP-0098,Enterprise_194 - ML Platform,Enterprise_188,World Wide Technology,,North America,Data Intelligence,Negotiation,,,2024-02-12,,Jordan Brooks,2
OPP-0099,Enterprise_172 - ML Platform,Enterprise_158,Deloitte Consulting,Partner,LATAM,Data Intelligence,Qualification,,,2025-02-08,,Morgan Lee,1
OPP-0100,Enterprise_121 - Governance Suite,Enterprise_147,Slalom Build,Partner,LATAM,ML Platform,Closed Won,281000,50821,2024-07-14,2024-11-09,Alex Kim,2
OPP-0101,Enterprise_184 - Governance Suite,Enterprise_136,WWT,,North America,Data Intelligence,Closed Lost,105000,,2024-08-06,2024-09-02,Sam Patel,2
OPP-0102,Enterprise_243 - Analytics Cloud,Enterprise_210,Slalom Build,Partner,APAC,ML Platform,Proposal,,,2024-09-19,,Sam Patel,2
OPP-0103,Enterprise_223 - Analytics Cloud,Enterprise_195,kpmg,Partner,LATAM,Analytics Cloud,Qualification,,,2025-01-15,,Jamie Torres,2
OPP-0104,Enterprise_236 - Data Intelligence,Enterprise_213,World Wide Tech,Partner,LATAM,Data Intelligence,Prospecting,,,2024-09-20,,Jordan Brooks,2
OPP-0105,Enterprise_205 - Governance Suite,Enterprise_104,Slalom,,EMEA,Data Intelligence,Proposal,,,2024-02-17,,Alex Kim,2
OPP-0106,Enterprise_157 - Analytics Cloud,Enterprise_198,Presidio Inc,Partner,North America,Governance Suite,Proposal,,,2024-11-27,,Jamie Torres,3
OPP-0107,Enterprise_134 - Data Intelligence,Enterprise_180,Slalom Build,,APAC,ML Platform,Negotiation,,,2024-07-30,,Morgan Lee,2
OPP-0108,Enterprise_194 - Governance Suite,Enterprise_140,Wipro,Partner,North America,Data Intelligence,Qualification,,,2024-03-03,,Riley Chen,2
OPP-0109,Enterprise_109 - Data Intelligence,Enterprise_220,CDW,Partner,EMEA,Analytics Cloud,Negotiation,,,2024-06-11,,Jordan Brooks,3
OPP-0110,Enterprise_246 - Governance Suite,Enterprise_245,Infosys BPM,Direct,North America,ML Platform,Prospecting,,,2024-06-17,,Riley Chen,1
OPP-0111,Capacity Allocation - Accenture LLP,accenture,accenture,MSP,APAC,ML Platform,Closed Won,217000,,2024-09-12,2024-10-09,Jordan Brooks,1
OPP-0112,Deloitte Consulting Q4 2024,Deloitte,Deloitte Consulting,,APAC,ML Platform,Closed Won,530000,,2024-01-11,2024-02-24,Jordan Brooks,1
OPP-0113,Deloitte Consulting - Data Intelligence,Deloitte Digital,Deloitte,,North America,Analytics Cloud,Prospecting,,,2024-06-12,,Riley Chen,1
OPP-0114,Cap Gemini Annual Commit,Capgemini,Capgemini,MSP,North America,Analytics Cloud,Closed Won,160000,,2024-03-25,2024-04-12,Jamie Torres,2
OPP-0115,Infosys Q3 2024,Infosys BPM,Infosys BPM,MSP,North America,ML Platform,Closed Won,584000,,2024-02-13,2024-04-08,Riley Chen,1
OPP-0116,Capacity Allocation - WIPRO,Wipro Technologies,Wipro,MSP,North America,ML Platform,Qualification,,,2024-12-20,,Morgan Lee,2
OPP-0117,Infosys BPM MSP Capacity 2024,Infosys,Infosys BPM,MSP,LATAM,Analytics Cloud,Closed Won,702000,,2024-08-17,2024-10-31,Alex Kim,1
OPP-0118,Cognizant - Capacity Block,Cognizant,Cognizant,MSP,APAC,Data Intelligence,Closed Won,645000,,2024-06-04,2024-06-20,Sam Patel,2
OPP-0119,Wipro Annual Commit,Wipro,Wipro Technologies,,North America,Data Intelligence,Closed Won,599000,,2024-05-12,2024-06-05,Riley Chen,2
OPP-0120,Capgemini Annual Commit,Capgemini SE,Cap Gemini,MSP,EMEA,Analytics Cloud,Prospecting,,,2024-11-06,,Sam Patel,2
OPP-0121,Deloitte Consulting Annual Commit,Deloitte Consulting,Deloitte Consulting,MSP,LATAM,Analytics Cloud,Closed Won,317000,,2024-08-17,2024-10-14,Sam Patel,1
OPP-0122,Infosys BPM - Data Intelligence,Infosys,Infosys BPM,Partner,North America,Governance Suite,Closed Won,416000,,2024-05-30,2024-07-08,Alex Kim,1
OPP-0123,Wipro MSP Capacity 2024,WIPRO,WIPRO,MSP,EMEA,Analytics Cloud,Closed Lost,521000,,2024-02-19,2024-05-05,Alex Kim,2
OPP-0124,Capgemini Q2 2024,Capgemini,Capgemini SE,Partner,EMEA,Analytics Cloud,Closed Won,645000,,2024-05-12,2024-06-23,Alex Kim,2
OPP-0125,Cognizant Technology Solutions Q4 2024,Cognizant Technology Solutions,Cognizant Technology Solutions,MSP,APAC,Data Intelligence,Closed Won,425000,,2024-04-04,2024-04-07,Riley Chen,2
OPP-0126,Wipro Technologies - Data Intelligence,Wipro,WIPRO,MSP,EMEA,Governance Suite,Prospecting,,,2024-11-25,,Sam Patel,2
OPP-0127,Wipro - Data Intelligence,WIPRO,Wipro,,LATAM,Governance Suite,Closed Won,242000,,2024-06-13,2024-08-07,Jamie Torres,2
OPP-0128,Accenture MSP Capacity 2024,accenture,Accenture LLP,MSP,North America,Governance Suite,Closed Lost,50000,,2024-11-01,2024-11-06,Sam Patel,1
OPP-0129,Capacity Allocation - Deloitte,Deloitte,Deloitte Consulting,MSP,EMEA,Analytics Cloud,Closed Won,50000,,2024-03-08,2024-05-08,Jordan Brooks,1
OPP-0130,Infosys BPM - ML Platform,Infosys,Infosys BPM,Partner,North America,Data Intelligence,Closed Won,578000,,2025-01-17,2025-02-01,Jamie Torres,1
OPP-0131,Wipro - Capacity Block,WIPRO,Wipro,Partner,North America,Data Intelligence,Closed Won,520000,,2024-05-17,2024-05-26,Riley Chen,2
OPP-0132,Infosys MSP Capacity 2024,Infosys BPM,Infosys BPM,MSP,EMEA,ML Platform,Closed Won,60000,,2024-06-09,2024-08-23,Morgan Lee,1
OPP-0133,Capacity Allocation - Wipro,WIPRO,Wipro,MSP,North America,ML Platform,Closed Won,181000,,2025-01-15,2025-01-16,Morgan Lee,2
OPP-0134,WIPRO Q2 2024,Wipro,Wipro Technologies,,LATAM,Governance Suite,Closed Won,753000,,2024-09-27,2024-12-09,Riley Chen,2
OPP-0135,Wipro MSP Capacity 2024,Wipro Technologies,Wipro,MSP,APAC,Governance Suite,Closed Won,364000,,2024-01-10,2024-03-17,Alex Kim,2
OPP-0136,Wipro Annual Commit,WIPRO,WIPRO,MSP,LATAM,ML Platform,Prospecting,,,2024-04-20,,Jordan Brooks,2
OPP-0137,Deloitte Q3 2024,Deloitte Consulting,Deloitte Consulting,,EMEA,Governance Suite,Closed Won,341000,,2024-03-09,2024-06-05,Alex Kim,1
OPP-0138,Capacity Allocation - Capgemini,Cap Gemini,Capgemini,MSP,North America,ML Platform,Closed Won,593000,,2024-02-12,2024-03-08,Morgan Lee,2
OPP-0139,Capacity Allocation - Cognizant Technology Solutions,Cognizant,Cognizant,MSP,EMEA,Analytics Cloud,Closed Won,400000,,2024-01-12,2024-03-09,Jordan Brooks,2
OPP-0140,Cognizant Annual Commit,Cognizant Technology Solutions,Cognizant,MSP,LATAM,Governance Suite,Closed Lost,402000,,2024-11-09,2025-01-30,Riley Chen,2
OPP-0141,Deloitte Digital MSP Capacity 2024,Deloitte Consulting,Deloitte Digital,Partner,LATAM,Data Intelligence,Closed Won,710000,,2024-06-03,2024-08-26,Morgan Lee,1
OPP-0142,Cognizant Annual Commit,Cognizant Technology Solutions,Cognizant Technology Solutions,,EMEA,ML Platform,Prospecting,,,2024-12-27,,Sam Patel,2
OPP-0143,Cap Gemini Q2 2024,Capgemini,Capgemini SE,MSP,APAC,ML Platform,Prospecting,,,2024-09-03,,Sam Patel,2
OPP-0144,Accenture Inc MSP Capacity 2024,Accenture Inc,accenture,MSP,LATAM,Data Intelligence,Prospecting,,,2024-06-08,,Alex Kim,1
OPP-0145,Capacity Allocation - Cap Gemini,Cap Gemini,Capgemini SE,Partner,North America,Data Intelligence,Closed Lost,404000,,2025-01-14,2025-01-20,Jamie Torres,2
OPP-0146,Capacity Allocation - Cognizant Technology Solutions,Cognizant,Cognizant,,APAC,Data Intelligence,Closed Won,777000,,2024-06-10,2024-07-01,Jordan Brooks,2
OPP-0147,Deloitte Digital - Data Intelligence,Deloitte Digital,Deloitte,MSP,EMEA,Analytics Cloud,Closed Won,168000,,2024-02-17,2024-04-25,Alex Kim,1
OPP-0148,Deloitte Digital Q1 2024,Deloitte,Deloitte Consulting,,APAC,ML Platform,Closed Lost,582000,,2024-10-06,2024-11-12,Alex Kim,1
OPP-0149,Cognizant Technology Solutions Q3 2024,Cognizant,Cognizant,Partner,EMEA,Data Intelligence,Closed Won,165000,,2024-07-31,2024-08-24,Jordan Brooks,2
OPP-0150,Deloitte Consulting - Data Intelligence,Deloitte Digital,Deloitte Digital,MSP,LATAM,Analytics Cloud,Closed Won,290000,,2024-10-30,2024-12-13,Sam Patel,1
OPP-0151,Wipro Technologies - Governance Suite,WIPRO,Wipro,,EMEA,Governance Suite,Closed Won,657000,,2024-10-06,2024-11-07,Alex Kim,2
OPP-0152,WIPRO - Capacity Block,Wipro Technologies,WIPRO,,LATAM,ML Platform,Closed Won,572000,,2024-10-10,2024-12-11,Sam Patel,2
OPP-0153,Accenture MSP Capacity 2024,accenture,Accenture Inc,Partner,APAC,Analytics Cloud,Closed Won,159000,,2024-03-29,2024-05-05,Alex Kim,1
OPP-0154,Accenture LLP - ML Platform,accenture,Accenture,MSP,LATAM,Analytics Cloud,Closed Lost,471000,,2024-11-29,2024-12-17,Alex Kim,1
OPP-0155,accenture MSP Capacity 2024,Accenture,accenture,MSP,North America,Governance Suite,Closed Won,351000,,2024-05-18,2024-05-20,Jamie Torres,1
OPP-0156,Enterprise_232 - MSP Deployment,Enterprise_232,Accenture LLP,,APAC,ML Platform,Closed Won,62979,,2025-02-19,2025-03-24,Sam Patel,1
OPP-0157,Enterprise_235 - MSP Deployment,Enterprise_235,,MSP,EMEA,ML Platform,Proposal,,,2024-11-29,,Morgan Lee,1
OPP-0158,Enterprise_219 - Data Intelligence Expansion,Enterprise_219,,,LATAM,ML Platform,Closed Won,125994,,2024-05-21,2024-07-16,Jamie Torres,1
OPP-0159,Enterprise_239 - Analytics Cloud Expansion,Enterprise_239,,,EMEA,ML Platform,Closed Won,152215,,2024-05-16,2024-05-22,Sam Patel,1
OPP-0160,Enterprise_132 - Deloitte Consulting Allocation,Enterprise_132,Deloitte,MSP,LATAM,ML Platform,Closed Won,41910,,2024-04-11,2024-04-21,Riley Chen,1
OPP-0161,Enterprise_246 - Cap Gemini Allocation,Enterprise_246,Capgemini,,LATAM,Analytics Cloud,Closed Lost,27901,,2024-11-30,2025-01-10,Jordan Brooks,2
OPP-0162,Enterprise_239 - ML Platform Expansion,Enterprise_239,,,LATAM,Analytics Cloud,Closed Won,27669,,2024-06-05,2024-06-20,Jordan Brooks,2
OPP-0163,Enterprise_102 - Data Intelligence Expansion,Enterprise_102,,Direct,LATAM,Analytics Cloud,Closed Won,30428,,2024-07-22,2024-07-23,Jordan Brooks,2
OPP-0164,Enterprise_238 - Infosys BPM Allocation,Enterprise_238,Infosys BPM,,LATAM,ML Platform,Proposal,,,2024-05-22,,Riley Chen,1
OPP-0165,Enterprise_172 - MSP Deployment,Enterprise_172,Infosys BPM,,EMEA,Analytics Cloud,Closed Won,45730,,2025-02-14,2025-02-16,Alex Kim,1
OPP-0166,Enterprise_157 - MSP Deployment,Enterprise_157,Infosys BPM,Direct,APAC,Analytics Cloud,Closed Won,143028,,2024-11-02,2024-12-16,Morgan Lee,1
OPP-0167,Enterprise_102 - Infosys Allocation,Enterprise_102,,,LATAM,Analytics Cloud,Proposal,,,2025-03-01,,Jordan Brooks,1
